addExisting,ECLIPSE_MUTABLE_LIST,1000,35072.496
addExisting,ECLIPSE_MUTABLE_LIST,10000,15177.064
addExisting,ECLISPE_MUTABLE_SET,1000,12722.175
addExisting,ECLISPE_MUTABLE_SET,10000,14213.987
addExisting,ECLIPSE_MUTABLE_MAP,1000,11747.063
addExisting,ECLIPSE_MUTABLE_MAP,10000,12311.172
addNew,ECLIPSE_MUTABLE_LIST,1000,30887.953
addNew,ECLIPSE_MUTABLE_LIST,10000,15132.348
addNew,ECLISPE_MUTABLE_SET,1000,12191.657
addNew,ECLISPE_MUTABLE_SET,10000,12775.587
addNew,ECLIPSE_MUTABLE_MAP,1000,11976.349
addNew,ECLIPSE_MUTABLE_MAP,10000,10602.858
containsExisting,ECLIPSE_MUTABLE_LIST,1000,284.305
containsExisting,ECLIPSE_MUTABLE_LIST,10000,29.255
containsExisting,ECLISPE_MUTABLE_SET,1000,14465.65
containsExisting,ECLISPE_MUTABLE_SET,10000,14089.223
containsExisting,ECLIPSE_MUTABLE_MAP,1000,13052.777
containsExisting,ECLIPSE_MUTABLE_MAP,10000,12673.375
containsNew,ECLIPSE_MUTABLE_LIST,1000,142.043
containsNew,ECLIPSE_MUTABLE_LIST,10000,13.714
containsNew,ECLISPE_MUTABLE_SET,1000,15347.457
containsNew,ECLISPE_MUTABLE_SET,10000,11340.708
containsNew,ECLIPSE_MUTABLE_MAP,1000,13327.237
containsNew,ECLIPSE_MUTABLE_MAP,10000,12829.182
removeExisting,ECLIPSE_MUTABLE_LIST,1000,281.097
removeExisting,ECLIPSE_MUTABLE_LIST,10000,26.75
removeExisting,ECLISPE_MUTABLE_SET,1000,13978.587
removeExisting,ECLISPE_MUTABLE_SET,10000,12516.94
removeExisting,ECLIPSE_MUTABLE_MAP,1000,12760.193
removeExisting,ECLIPSE_MUTABLE_MAP,10000,11088.01
removeNew,ECLIPSE_MUTABLE_LIST,1000,136.586
removeNew,ECLIPSE_MUTABLE_LIST,10000,11.495
removeNew,ECLISPE_MUTABLE_SET,1000,12195.413
removeNew,ECLISPE_MUTABLE_SET,10000,13288.368
removeNew,ECLIPSE_MUTABLE_MAP,1000,14203.15
removeNew,ECLIPSE_MUTABLE_MAP,10000,15245.553
addExisting,FASTUTILS_ARRAY_LIST,1000,25974.29
addExisting,FASTUTILS_ARRAY_LIST,10000,11231.594
addExisting,FASTUTILS_ARRAY_SET,1000,217.223
addExisting,FASTUTILS_ARRAY_SET,10000,18.468
addExisting,FASTUTILS_AVL_SET,1000,4172.64
addExisting,FASTUTILS_AVL_SET,10000,2827.296
addExisting,FASTUTILS_RTB_SET,1000,3854.401
addExisting,FASTUTILS_RTB_SET,10000,2693.505
addNew,FASTUTILS_ARRAY_LIST,1000,16443.963
addNew,FASTUTILS_ARRAY_LIST,10000,7273.786
addNew,FASTUTILS_ARRAY_SET,1000,128.341
addNew,FASTUTILS_ARRAY_SET,10000,12.561
addNew,FASTUTILS_AVL_SET,1000,5149.337
addNew,FASTUTILS_AVL_SET,10000,3937.17
addNew,FASTUTILS_RTB_SET,1000,3219.763
addNew,FASTUTILS_RTB_SET,10000,2452.358
containsExisting,FASTUTILS_ARRAY_LIST,1000,236.702
containsExisting,FASTUTILS_ARRAY_LIST,10000,24.95
containsExisting,FASTUTILS_ARRAY_SET,1000,218.88
containsExisting,FASTUTILS_ARRAY_SET,10000,22.812
containsExisting,FASTUTILS_AVL_SET,1000,5442.113
containsExisting,FASTUTILS_AVL_SET,10000,3532.206
containsExisting,FASTUTILS_RTB_SET,1000,5321.119
containsExisting,FASTUTILS_RTB_SET,10000,3716.3
